Date,ASX200,BOVESPA,CAC40,DAX,DOWJONES,EUROSTOXX50,FTSE100,HANGSENG,JSE,KOSPI50,MIB,NASDAQ100,NIKKEI,OBX,SENSEX,SMI,SP500,TOPIX,TSX300
2000-02-16,3150.4,18112.47,6046.27,7490.32,10561.42,5063.73,6147.38,17043.39,8382.0041,,46445.89,3997.97,19599.18,174.84,5725.5,6933.3,1387.67,1691.12,9428.61
2000-02-17,3140.8,17979.41,6154.96,7580.53,10514.57,5114.47,6209.34,16981.23,8537.36472,,46807.04,4125.38,19791.4,174.06,5835.15,7029.4,1388.26,1717.11,9463.54
2000-02-18,3114.9,17625.02,6062.72,7573.78,10219.53,5079.59,6164.96,16599.16,8499.52047,,46602.06,3965.75,19789.03,175.12,5721.65,7047,1346.09,1719.77,9295.51
2000-02-21,3114.9,17699.76,5967.28,7590.53,,5033.33,6081.62,16322.37,8308.3074,,46013.99,,19543.75,174.04,5876.89,6962.7,,1680.72,9231.16
2000-02-22,3097,17489.33,5963.31,7607.94,10304.85,5024.05,6014.73,16255.17,8119.08614,,46033.51,3969.13,19390.58,175.13,5883.33,7037.5,1352.17,1644.59,9194.86
2000-02-23,3101.1,17833.39,6031.25,7698.97,10225.73,5086,6144.1,16376.79,8186.30948,,47134.02,4170.09,19519.55,178.24,5642.46,7091.7,1360.69,1667.24,9314.96
2000-02-24,3099.6,17775.79,6078.78,7640.53,10092.64,5117.41,6086.7,17058.66,8190.79104,,46907.08,4253.05,19571.44,178.19,5810.17,7043.8,1353.43,1690.05,9214.18
2000-02-25,3111.2,17786.82,6188.64,7738.68,9862.12,5208.87,6197.98,17200.98,8074.76852,,48234.53,4178.58,19817.88,177.76,5623.08,6989.1,1333.36,1724.5,9141.17
2000-02-28,3106.7,17542.7,6102.73,7587.13,10038.66,5126.33,6099.64,16984.44,7956.75421,,47746.49,4162.13,19720.1,176.17,5740.69,6917.8,1348.05,1728.44,9223.42
2000-02-29,3124.6,17660.2,6190.96,7644.55,10128.31,5182.62,6232.56,17169.44,7916.91815,,48478.54,4266.94,19959.52,177.2,5446.98,6910.1,1366.42,1718.94,9128.99
2000-03-01,3187.2,17953.01,6256.32,7727.93,10137.93,5235.14,6364.89,16843.59,8039.91197,,48676.19,4309.01,20081.67,182.91,5642.12,6959.1,1379.19,1725.24,9411.58
2000-03-02,3219.8,18015.5,6477.55,7945.77,10164.92,5406.37,6432.1,16936.81,7957.25216,,49464.36,4234.26,20065.11,182.96,5528.31,7052.4,1381.76,1718.48,9516.06
2000-03-03,3232.6,18631.73,6514.11,7960.03,10367.2,5450.22,6487.46,17285.24,7964.22347,,49169.1,4442.87,19927.54,184.21,5378.27,7025.3,1409.17,1686.49,9462.9
