Asset_0,Asset_1,Asset_2,Asset_3,Asset_4,Asset_5,Asset_6,Asset_7,Date
5166.25,6382.46,46606.94,17435.95,4912.11,1.58201280302235,0.0235297771683043,0.00981507726998101,0
4243.8,5639.91,37841.91,12817.41,3312.29,1.65861134032771,0.0250441522142499,0.00947763502753452,259
2999.17,4546.77,27405.37,10622.32,3285.04,1.55730223123732,0.02079554609312,0.00846435305426023,519
2420.35,4006.86,24403.98,9592.24,3601.39,1.44408807212205,0.018718453789828,0.0073406011940633,780
2819.7,4410.71,27400.0,11683.42,5740.85,1.50246783720366,0.0187038130378819,0.00780332676264608,1042
